time/episodes,time/time_elapsed,time/total_timesteps,time/fps,eval/mean_reward,eval/mean_ep_length,train/ent_coef,train/n_updates,train/actor_loss,train/learning_rate,train/critic_loss,,,
196,156008,296352,1,,,0.01,133175,-883.4523926,3.00E-05,2685.432617,,,
200,156910,302400,1,,,0.01,136199,-885.8616943,3.00E-05,2466.533691,,,
,,304000,,5.386098291,485,0.01,136999,-766.1680908,3.00E-05,2687.006592,,,
204,159260,308448,1,,,0.01,139223,-818.6741333,3.00E-05,2542.153809,,,
,,312000,,-5.420527491,485,0.01,140999,-778.7512207,3.00E-05,2596.724121,,,
208,160623,314496,1,,,0.01,142247,-864.7402344,3.00E-05,3189.625977,,,
,,320000,,1.38267422,485,0.01,144999,-830.0585938,3.00E-05,2635.876465,,,
212,162768,320544,1,,,0.01,145271,-899.0561523,3.00E-05,2387.262207,,,
216,163574,326592,1,,,0.01,148295,-903.0579834,3.00E-05,2439.089355,,,
,,328000,,-1.173699073,485,0.01,148999,-865.6090698,3.00E-05,2106.381104,,,
220,164810,332640,2,,,0.01,151319,-934.6260376,3.00E-05,2967.391846,,,
,,336000,,-7.403672232,485,0.01,152999,-972.617981,3.00E-05,2874.852539,,,
224,167447,338688,2,,,0.01,154343,-971.9249268,3.00E-05,3320.156738,,,
